op_id,entry_addr,name,string_addr,source_section,static_dispatch_status
0,0x7ff3b000,CONV2D,0x70001fac,.dram_op.data,vocabulary_not_dispatch_proof
1,0x7ff3b004,DWCONV2D,0x70001fb8,.dram_op.data,vocabulary_not_dispatch_proof
2,0x7ff3b008,POOL2D,0x70001e94,.dram_op.data,vocabulary_not_dispatch_proof
3,0x7ff3b00c,LOGISTIC,0x70001e9c,.dram_op.data,vocabulary_not_dispatch_proof
4,0x7ff3b010,RELU,0x70001ea8,.dram_op.data,vocabulary_not_dispatch_proof
5,0x7ff3b014,SOFTMAX,0x70001eb0,.dram_op.data,vocabulary_not_dispatch_proof
6,0x7ff3b018,RESHAPE,0x70001eb8,.dram_op.data,vocabulary_not_dispatch_proof
7,0x7ff3b01c,CONCAT,0x70001ec0,.dram_op.data,vocabulary_not_dispatch_proof
8,0x7ff3b020,ELEWISE,0x70001ec8,.dram_op.data,vocabulary_not_dispatch_proof
9,0x7ff3b024,L2NORM,0x70001ed0,.dram_op.data,vocabulary_not_dispatch_proof
10,0x7ff3b028,RESZBILINR,0x70001ed8,.dram_op.data,vocabulary_not_dispatch_proof
11,0x7ff3b02c,TRANSPOSE,0x70001ee4,.dram_op.data,vocabulary_not_dispatch_proof
12,0x7ff3b030,DECONV2D,0x70001ef0,.dram_op.data,vocabulary_not_dispatch_proof
13,0x7ff3b034,PAD,0x70001efc,.dram_op.data,vocabulary_not_dispatch_proof
14,0x7ff3b038,STRIDESLICE,0x70001f00,.dram_op.data,vocabulary_not_dispatch_proof
15,0x7ff3b03c,MEAN,0x70001f0c,.dram_op.data,vocabulary_not_dispatch_proof
16,0x7ff3b040,BATCH2SPACE,0x70001f14,.dram_op.data,vocabulary_not_dispatch_proof
17,0x7ff3b044,SPACE2BATCH,0x70001f20,.dram_op.data,vocabulary_not_dispatch_proof
18,0x7ff3b048,DEPTHNSPACE,0x70001f2c,.dram_op.data,vocabulary_not_dispatch_proof
19,0x7ff3b04c,REQUANT,0x70001f38,.dram_op.data,vocabulary_not_dispatch_proof
20,0x7ff3b050,DIDWCONV2D,0x70001f40,.dram_op.data,vocabulary_not_dispatch_proof
21,0x7ff3b054,DICONV2D,0x70001f4c,.dram_op.data,vocabulary_not_dispatch_proof
22,0x7ff3b058,PRELU,0x70001f58,.dram_op.data,vocabulary_not_dispatch_proof
23,0x7ff3b05c,TANH,0x70001f60,.dram_op.data,vocabulary_not_dispatch_proof
24,0x7ff3b060,ARGMINMAX,0x70001f68,.dram_op.data,vocabulary_not_dispatch_proof
25,0x7ff3b064,GROUPCONV2D,0x70001f74,.dram_op.data,vocabulary_not_dispatch_proof
26,0x7ff3b068,SHUFFLE,0x70001f80,.dram_op.data,vocabulary_not_dispatch_proof
27,0x7ff3b06c,REDUCE,0x70001f88,.dram_op.data,vocabulary_not_dispatch_proof
28,0x7ff3b070,PCCONV2D,0x70001f90,.dram_op.data,vocabulary_not_dispatch_proof
29,0x7ff3b074,PCDWCONV2D,0x70001f9c,.dram_op.data,vocabulary_not_dispatch_proof
30,0x7ff3b078,DIPCCONV2D,0x70001fa8,.dram_op.data,vocabulary_not_dispatch_proof
31,0x7ff3b07c,DIPCDWCONV2D,0x70001fb4,.dram_op.data,vocabulary_not_dispatch_proof
32,0x7ff3b080,CAST,0x70001fc4,.dram_op.data,vocabulary_not_dispatch_proof
33,0x7ff3b084,BOXTRANSFORM,0x70001fcc,.dram_op.data,vocabulary_not_dispatch_proof
34,0x7ff3b088,SPLIT,0x70001fdc,.dram_op.data,vocabulary_not_dispatch_proof
35,0x7ff3b08c,QUANT16LSTM,0x70001fe4,.dram_op.data,vocabulary_not_dispatch_proof
36,0x7ff3b090,BOXWITHNMS,0x70001ff0,.dram_op.data,vocabulary_not_dispatch_proof
37,0x7ff3b094,GENPROPOSALS,0x70001ffc,.dram_op.data,vocabulary_not_dispatch_proof
38,0x7ff3b098,HEATMAXKEY,0x7000200c,.dram_op.data,vocabulary_not_dispatch_proof
39,0x7ff3b09c,TOPKV2,0x70002018,.dram_op.data,vocabulary_not_dispatch_proof
40,0x7ff3b0a0,ROIALIGN,0x70002020,.dram_op.data,vocabulary_not_dispatch_proof
41,0x7ff3b0a4,RESZNEAR,0x7000202c,.dram_op.data,vocabulary_not_dispatch_proof
42,0x7ff3b0a8,TILE,0x70002038,.dram_op.data,vocabulary_not_dispatch_proof
43,0x7ff3b0ac,GATHER,0x70002040,.dram_op.data,vocabulary_not_dispatch_proof
44,0x7ff3b0b0,SELECT,0x70002048,.dram_op.data,vocabulary_not_dispatch_proof
45,0x7ff3b0b4,QUANTIZE,0x70002050,.dram_op.data,vocabulary_not_dispatch_proof
46,0x7ff3b0b8,DEQUANTIZE,0x7000205c,.dram_op.data,vocabulary_not_dispatch_proof
47,0x7ff3b0bc,INSTANCENORM,0x70002068,.dram_op.data,vocabulary_not_dispatch_proof
48,0x7ff3b0c0,LAYERNORM,0x70002078,.dram_op.data,vocabulary_not_dispatch_proof
49,0x7ff3b0c4,DIV,0x70002084,.dram_op.data,vocabulary_not_dispatch_proof
50,0x7ff3b0c8,SQRT,0x70002088,.dram_op.data,vocabulary_not_dispatch_proof
51,0x7ff3b0cc,RSQRT,0x70002090,.dram_op.data,vocabulary_not_dispatch_proof
52,0x7ff3b0d0,QUANTLSTM,0x70002098,.dram_op.data,vocabulary_not_dispatch_proof
53,0x7ff3b0d4,HARDSWISH,0x700020a4,.dram_op.data,vocabulary_not_dispatch_proof
54,0x7ff3b0d8,FILL,0x700020b0,.dram_op.data,vocabulary_not_dispatch_proof
55,0x7ff3b0dc,TYPECONVERT,0x700020b8,.dram_op.data,vocabulary_not_dispatch_proof
56,0x7ff3b0e0,ELTCOMPARE,0x700020c4,.dram_op.data,vocabulary_not_dispatch_proof
57,0x7ff3b0e4,ROIALIGNV2,0x700020d0,.dram_op.data,vocabulary_not_dispatch_proof
58,0x7ff3b0e8,RESZBILINRV2,0x700020dc,.dram_op.data,vocabulary_not_dispatch_proof
59,0x7ff3b0ec,RESZNEARV2,0x700020ec,.dram_op.data,vocabulary_not_dispatch_proof
60,0x7ff3b0f0,ARGMINMAX4D,0x700020f8,.dram_op.data,vocabulary_not_dispatch_proof
61,0x7ff3b0f4,XFL_SQRT_QUANT,0x70002104,.dram_op.data,vocabulary_not_dispatch_proof
62,0x7ff3b0f8,XFL_RSQRT_QUANT,0x70002114,.dram_op.data,vocabulary_not_dispatch_proof
