raw,row_count,usable_count,internal_count,reject_count,normalized_delta_count,dominant_normalized_delta,dominant_normalized_delta_count,source_mod8,target_mod8,pcrel_classes,target_regions,target_prop_groups,accepted,status,evidence,source_samples
060402,206,143,127,62,1,0x810,206,0:34 1:8 2:19 3:25 4:42 5:33 6:22 7:23,0:120 4:86,strong_dense_control_target:98 reject_repeated_out_of_region:62 dense_insn_target:29 near_anchor_landing:13 anchor_adjacent_landing:3 repeated_060402_dense_target:1,flk_dense:124 none:62 ann_dense:20,0x5f6:insn|data|loop_target|no_reorder|no_transform:29 0x1e1:insn|data|branch_target|no_reorder|no_transform:16 0x52:insn|no_reorder:16 0x23:insn|branch_target|no_reorder:13 0xb:insn|data|no_reorder|no_transform:12 0x3f:insn|data|branch_target|no_reorder|no_transform:10 0xd1:insn|data|branch_target|no_reorder|no_transform:10 0x2f:insn|data|no_reorder|no_transform:10,1,accepted_slot_template,single_normalized_delta;reject_count_62;passes_profile_thresholds,0x700169ce->0x700171e0 0x700169e6->0x700171f8 0x70016a0c->0x70017220 0x70016a1c->0x70017230 0x70016a35->0x70017248 0x70016a48->0x7001725c 0x70016a61->0x70017274 0x70016a74->0x70017288 0x70016a8d->0x700172a0 0x70016aa5->0x700172b8 0x70016abe->0x700172d0 0x70016ad4->0x700172e8
062200,4,4,4,0,1,0x88,4,0:2 3:1 5:1,0:1 4:3,strong_dense_control_target:4,flk_dense:4,0x1e1:insn|data|branch_target|no_reorder|no_transform:2 0x54:insn|data|branch_target|no_reorder|no_transform:1 0xd1:insn|data|branch_target|no_reorder|no_transform:1,1,accepted_slot_template,single_normalized_delta;passes_profile_thresholds,0x70017555->0x700175e0 0x70017598->0x70017624 0x70017750->0x700177dc 0x7001796b->0x700179f4
066b00,1,1,1,0,1,0x1ac,1,1:1,0:1,dense_insn_target:1,flk_dense:1,0xb:insn|data|no_reorder|no_transform:1,1,accepted_slot_template,single_normalized_delta;passes_profile_thresholds,0x70017c99->0x70017e48
06e400,1,1,1,0,1,0x390,1,7:1,0:1,strong_dense_control_target:1,flk_dense:1,0x5f6:insn|data|loop_target|no_reorder|no_transform:1,1,accepted_slot_template,single_normalized_delta;passes_profile_thresholds,0x700170d7->0x70017468
c65cc0,28,0,0,28,1,0x330170,28,0:3 1:16 2:3 4:1 5:4 6:1,0:6 4:22,reject_repeated_out_of_region:28,none:28,::28,0,rejected_low_usable,single_normalized_delta;reject_count_28,0x70081f49->0x703b20bc 0x70081fc0->0x703b2134 0x70082035->0x703b21a8 0x700820aa->0x703b221c 0x70082120->0x703b2294 0x70082195->0x703b2308 0x7008220a->0x703b237c 0x70082280->0x703b23f4 0x700822f5->0x703b2468 0x7008236a->0x703b24dc 0x700823e1->0x703b2554 0x70082456->0x703b25c8
06230d,4,0,0,0,1,0x348c,4,3:2 4:1 5:1,0:2 4:2,weak_or_unusable:4,none:4,0xab:insn|no_reorder:3 0x86:insn|branch_target|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x7001811b->0x7001b5a8 0x7001800d->0x7001b49c 0x7001803c->0x7001b4cc 0x7001806b->0x7001b4f8
06030d,2,0,0,0,1,0x340c,2,4:1 7:1,4:2,weak_or_unusable:2,none:2,0xdd:insn|no_reorder:1 0xab:insn|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017e6f->0x7001b27c 0x700180ec->0x7001b4fc
06130d,2,0,0,0,1,0x344c,2,5:1 7:1,4:2,weak_or_unusable:2,none:2,0xbd:insn|no_reorder:2,0,rejected_low_usable,single_normalized_delta,0x70017ecd->0x7001b31c 0x70017f27->0x7001b374
0631a8,2,0,0,0,1,0x2a0c4,2,0:1 6:1,0:1 4:1,weak_or_unusable:2,none:2,0xb8:insn|no_reorder:1 0x3f:insn|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70016a16->0x70040adc 0x70017b48->0x70041c10
067058,2,0,0,0,1,0x161c0,2,3:2,4:2,weak_or_unusable:2,none:2,0x9:insn|branch_target|no_reorder:1 0x10:insn|data|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x70016b43->0x7002cd04 0x70016ab3->0x7002cc74
060110,1,0,0,0,1,0x4004,1,5:1,4:1,weak_or_unusable:1,none:1,0x2c:insn|branch_target|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017565->0x7001b56c
06014f,1,0,0,0,1,0x13c04,1,6:1,4:1,weak_or_unusable:1,none:1,0x43:insn|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x700173ee->0x7002aff4
060151,1,0,0,0,1,0x14404,1,5:1,4:1,weak_or_unusable:1,none:1,0x1f:insn|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70016d45->0x7002b14c
060220,1,0,0,0,1,0x8008,1,5:1,0:1,weak_or_unusable:1,none:1,0x40:insn|data|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x70017575->0x7001f580
06035b,1,0,0,0,1,0x16c0c,1,5:1,4:1,weak_or_unusable:1,none:1,0x41:insn|branch_target|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017b05->0x7002e714
060430,1,0,0,0,1,0xc010,1,5:1,0:1,weak_or_unusable:1,none:1,0x371:insn|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70016f5d->0x70022f70
060afb,1,0,0,0,1,0x3ec28,1,0:1,4:1,weak_or_unusable:1,none:1,0x2f7:insn|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017d80->0x700569ac
0615fb,1,0,0,0,1,0x3ec54,1,4:1,4:1,weak_or_unusable:1,none:1,0x2f7:insn|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017d54->0x700569ac
061ebe,1,0,0,0,1,0x2f878,1,0:1,4:1,weak_or_unusable:1,none:1,0x30:insn|data|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x70081ec8->0x700b1744
0620fb,1,0,0,0,1,0x3ec80,1,0:1,4:1,weak_or_unusable:1,none:1,0x2f7:insn|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017d28->0x700569ac
062110,1,0,0,0,1,0x4084,1,5:1,4:1,weak_or_unusable:1,none:1,0x69:insn|branch_target|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x7001798d->0x7001ba14
062118,1,0,0,0,1,0x6084,1,7:1,4:1,weak_or_unusable:1,none:1,0x30:insn|data|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x70017adf->0x7001db64
062208,1,0,0,0,1,0x2088,1,6:1,0:1,weak_or_unusable:1,none:1,0x28:insn|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x700179d6->0x70019a60
06225c,1,0,0,0,1,0x17088,1,5:1,0:1,weak_or_unusable:1,none:1,0x59:insn|branch_target|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x700171bd->0x7002e248
06225d,1,0,0,0,1,0x17488,1,0:1,4:1,weak_or_unusable:1,none:1,0x9:insn|branch_target|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x700171e8->0x7002e674
062bfb,1,0,0,0,1,0x3ecac,1,4:1,4:1,weak_or_unusable:1,none:1,0x2f7:insn|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017cfc->0x700569ac
0636fb,1,0,0,0,1,0x3ecd8,1,0:1,4:1,weak_or_unusable:1,none:1,0x2f7:insn|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017cd0->0x700569ac
065294,1,0,0,0,1,0x25148,1,1:1,4:1,weak_or_unusable:1,none:1,0x2e9:insn|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70016d11->0x7003be5c
06a61e,1,0,0,0,1,0x7a98,1,3:1,4:1,weak_or_unusable:1,none:1,0x50:insn|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x700179ab->0x7001f444
06d480,1,0,0,0,1,0x20350,1,1:1,4:1,weak_or_unusable:1,none:1,0x8:insn|data|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x70017289->0x700375dc
06defa,1,0,0,0,1,0x3eb78,1,0:1,4:1,weak_or_unusable:1,none:1,0x2f7:insn|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017e30->0x700569ac
06e9fa,1,0,0,0,1,0x3eba4,1,4:1,4:1,weak_or_unusable:1,none:1,0x2f7:insn|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017e04->0x700569ac
06f362,1,0,0,0,1,0x18bcc,1,0:1,0:1,weak_or_unusable:1,none:1,0x1b3:insn|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017ef0->0x70030ac0
06f4fa,1,0,0,0,1,0x3ebd0,1,0:1,4:1,weak_or_unusable:1,none:1,0x2f7:insn|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017dd8->0x700569ac
06fdce,1,0,0,0,1,0x33bf4,1,2:1,0:1,weak_or_unusable:1,none:1,0x210:insn|data|loop_target|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x70082aaa->0x700b66a0
06fffa,1,0,0,0,1,0x3ebfc,1,4:1,4:1,weak_or_unusable:1,none:1,0x2f7:insn|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017dac->0x700569ac
46035a,1,0,0,0,1,0x11680c,1,1:1,0:1,weak_or_unusable:1,none:1,0x3e:insn|branch_target|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017621->0x7012de30
460401,1,0,0,0,1,0x100410,1,0:1,4:1,weak_or_unusable:1,none:1,0x12:insn|branch_target|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70016c70->0x70117084
4607fb,1,0,0,0,1,0x13ec1c,1,3:1,0:1,weak_or_unusable:1,none:1,0x159:insn|data|branch_target|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x70017d8b->0x701569a8
4612fb,1,0,0,0,1,0x13ec48,1,7:1,0:1,weak_or_unusable:1,none:1,0x159:insn|data|branch_target|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x70017d5f->0x701569a8
461dfb,1,0,0,0,1,0x13ec74,1,3:1,0:1,weak_or_unusable:1,none:1,0x159:insn|data|branch_target|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x70017d33->0x701569a8
4628fb,1,0,0,0,1,0x13eca0,1,7:1,0:1,weak_or_unusable:1,none:1,0x159:insn|data|branch_target|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x70017d07->0x701569a8
462aff,1,0,0,0,1,0x13fca8,1,2:1,4:1,weak_or_unusable:1,none:1,0x20:insn|data|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x7008221a->0x701c1ec4
4633fb,1,0,0,0,1,0x13eccc,1,3:1,0:1,weak_or_unusable:1,none:1,0x159:insn|data|branch_target|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x70017cdb->0x701569a8
4682ff,1,0,0,0,1,0x13fe08,1,2:1,4:1,weak_or_unusable:1,none:1,0x20:insn|data|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x700820ba->0x701c1ec4
4697fe,1,0,0,0,1,0x13fa5c,1,6:1,4:1,weak_or_unusable:1,none:1,0x20:insn|data|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x70082466->0x701c1ec4
46a358,1,0,0,0,1,0x11628c,1,5:1,4:1,weak_or_unusable:1,none:1,0x1b9:insn|branch_target|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x7001718d->0x7012d41c
46c660,1,0,0,0,1,0x118318,1,6:1,0:1,weak_or_unusable:1,none:1,0x1d:insn|data|branch_target|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x700173c6->0x7012f6e0
46d2fe,1,0,0,0,1,0x13fb48,1,2:1,4:1,weak_or_unusable:1,none:1,0x20:insn|data|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x7008237a->0x701c1ec4
46dbfa,1,0,0,0,1,0x13eb6c,1,3:1,0:1,weak_or_unusable:1,none:1,0x159:insn|data|branch_target|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x70017e3b->0x701569a8
46e6fa,1,0,0,0,1,0x13eb98,1,7:1,0:1,weak_or_unusable:1,none:1,0x159:insn|data|branch_target|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x70017e0f->0x701569a8
46f1fa,1,0,0,0,1,0x13ebc4,1,3:1,0:1,weak_or_unusable:1,none:1,0x159:insn|data|branch_target|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x70017de3->0x701569a8
46f406,1,0,0,0,1,0x101bd0,1,3:1,4:1,weak_or_unusable:1,none:1,0x50:insn|data|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x7008249b->0x7018406c
46fcfa,1,0,0,0,1,0x13ebf0,1,7:1,0:1,weak_or_unusable:1,none:1,0x159:insn|data|branch_target|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x70017db7->0x701569a8
86035a,1,0,0,0,1,0x21680c,1,6:1,4:1,weak_or_unusable:1,none:1,0x10:insn|data|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x70016c9e->0x7022d4ac
8604fb,1,0,0,0,1,0x23ec10,1,6:1,0:1,weak_or_unusable:1,none:1,0x29:insn|branch_target|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017d96->0x702569a8
8606fd,1,0,0,0,1,0x23f418,1,1:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70082aa9->0x702c1ec4
860afe,1,0,0,0,1,0x23f828,1,1:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70082699->0x702c1ec4
860ffb,1,0,0,0,1,0x23ec3c,1,2:1,0:1,weak_or_unusable:1,none:1,0x29:insn|branch_target|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017d6a->0x702569a8
861afb,1,0,0,0,1,0x23ec68,1,6:1,0:1,weak_or_unusable:1,none:1,0x29:insn|branch_target|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017d3e->0x702569a8
8620fd,1,0,0,0,1,0x23f480,1,1:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70082a41->0x702c1ec4
8624fe,1,0,0,0,1,0x23f890,1,1:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70082631->0x702c1ec4
8625fb,1,0,0,0,1,0x23ec94,1,2:1,0:1,weak_or_unusable:1,none:1,0x29:insn|branch_target|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017d12->0x702569a8
863060,1,0,0,0,1,0x2180c0,1,1:1,4:1,weak_or_unusable:1,none:1,0x192:insn|branch_target|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017079->0x7022f13c
8630fb,1,0,0,0,1,0x23ecc0,1,6:1,0:1,weak_or_unusable:1,none:1,0x29:insn|branch_target|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017ce6->0x702569a8
8631a8,1,0,0,0,1,0x22a0c4,1,1:1,0:1,weak_or_unusable:1,none:1,0xe3:insn|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70016dd1->0x70240e98
863afd,1,0,0,0,1,0x23f4e8,1,1:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x700829d9->0x702c1ec4
863efe,1,0,0,0,1,0x23f8f8,1,1:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x700825c9->0x702c1ec4
8647ff,1,0,0,0,1,0x23fd1c,1,5:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x700821a5->0x702c1ec4
8654fd,1,0,0,0,1,0x23f550,1,1:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70082971->0x702c1ec4
865c40,1,0,0,0,1,0x210170,1,3:1,4:1,weak_or_unusable:1,none:1,0x8:insn|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x7001771b->0x7022788c
865c66,1,0,0,0,1,0x219970,1,1:1,4:1,weak_or_unusable:1,none:1,0xe0:insn|data|branch_target|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x700178a1->0x70231214
866efd,1,0,0,0,1,0x23f5b8,1,1:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70082909->0x702c1ec4
8679fe,1,0,0,0,1,0x23f9e4,1,5:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x700824dd->0x702c1ec4
8688fd,1,0,0,0,1,0x23f620,1,1:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x700828a1->0x702c1ec4
869fff,1,0,0,0,1,0x23fe7c,1,5:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70082045->0x702c1ec4
86a2fd,1,0,0,0,1,0x23f688,1,1:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70082839->0x702c1ec4
86a520,1,0,0,0,1,0x208294,1,5:1,4:1,weak_or_unusable:1,none:1,0x10:insn|data|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x70017415->0x7021f6ac
86b4fe,1,0,0,0,1,0x23fad0,1,1:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x700823f1->0x702c1ec4
86bcfd,1,0,0,0,1,0x23f6f0,1,1:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x700827d1->0x702c1ec4
86cd48,1,0,0,0,1,0x212334,1,2:1,0:1,weak_or_unusable:1,none:1,0x10:insn|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x700178fa->0x70229c30
86d6fd,1,0,0,0,1,0x23f758,1,1:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70082769->0x702c1ec4
86d8fa,1,0,0,0,1,0x23eb60,1,6:1,0:1,weak_or_unusable:1,none:1,0x29:insn|branch_target|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017e46->0x702569a8
86daff,1,0,0,0,1,0x23ff68,1,1:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70081f59->0x702c1ec4
86e3fa,1,0,0,0,1,0x23eb8c,1,2:1,0:1,weak_or_unusable:1,none:1,0x29:insn|branch_target|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017e1a->0x702569a8
86ecfc,1,0,0,0,1,0x23f3b0,1,1:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70082b11->0x702c1ec4
86ed68,1,0,0,0,1,0x21a3b4,1,6:1,4:1,weak_or_unusable:1,none:1,0x6a3:insn|data|branch_target|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x700177fe->0x70231bb4
86eefa,1,0,0,0,1,0x23ebb8,1,6:1,0:1,weak_or_unusable:1,none:1,0x29:insn|branch_target|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017dee->0x702569a8
86effe,1,0,0,0,1,0x23fbbc,1,5:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70082305->0x702c1ec4
86f0fd,1,0,0,0,1,0x23f7c0,1,1:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70082701->0x702c1ec4
86f9fa,1,0,0,0,1,0x23ebe4,1,2:1,0:1,weak_or_unusable:1,none:1,0x29:insn|branch_target|no_reorder:1,0,rejected_low_usable,single_normalized_delta,0x70017dc2->0x702569a8
86fd78,1,0,0,0,1,0x21e3f4,1,4:1,4:1,weak_or_unusable:1,none:1,0x2c9:insn|data|no_reorder|no_transform:1,0,rejected_low_usable,single_normalized_delta,0x7001787c->0x70235c74
c60100,1,0,0,0,1,0x300004,1,5:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70016ba5->0x70316bac
c601fb,1,0,0,0,1,0x33ec04,1,1:1,0:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70017da1->0x703569a8
c60af9,1,0,0,0,1,0x33e428,1,1:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70016be1->0x7035500c
c60cfb,1,0,0,0,1,0x33ec30,1,5:1,0:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70017d75->0x703569a8
c60cff,1,0,0,0,1,0x33fc30,1,0:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70082290->0x703c1ec4
c617fb,1,0,0,0,1,0x33ec5c,1,1:1,0:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70017d49->0x703569a8
c62101,1,0,0,0,1,0x300484,1,4:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x7001701c->0x703174a4
c622fb,1,0,0,0,1,0x33ec88,1,5:1,0:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70017d1d->0x703569a8
c62dfb,1,0,0,0,1,0x33ecb4,1,1:1,0:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70017cf1->0x703569a8
c6325c,1,0,0,0,1,0x3170c8,1,4:1,0:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70016dcc->0x7032de98
c65bfe,1,0,0,0,1,0x33f96c,1,4:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70082554->0x703c1ec4
c6605c,1,0,0,0,1,0x317180,1,7:1,0:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x700173c7->0x7032e548
c661e4,1,0,0,0,1,0x339184,1,7:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70016bd7->0x7034fd5c
c664ff,1,0,0,0,1,0x33fd90,1,0:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70082130->0x703c1ec4
c68e90,1,0,0,0,1,0x324238,1,1:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70016f39->0x7033b174
c6b101,1,0,0,0,1,0x3006c4,1,0:1,0:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70017128->0x703177f0
c6b9fb,1,0,0,0,1,0x33eee4,1,5:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70017cc5->0x70356bac
c6bcff,1,0,0,0,1,0x33fef0,1,0:1,4:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70081fd0->0x703c1ec4
c6e0fa,1,0,0,0,1,0x33eb80,1,5:1,0:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70017e25->0x703569a8
c6ebfa,1,0,0,0,1,0x33ebac,1,1:1,0:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70017df9->0x703569a8
c6f6fa,1,0,0,0,1,0x33ebd8,1,5:1,0:1,weak_or_unusable:1,none:1,::1,0,rejected_low_usable,single_normalized_delta,0x70017dcd->0x703569a8
